班级	考号	姓名	语文100	数学100	英语100	科学100	社会100	平均分	总分
703	17	张憴皿	80	80	67	88	86	80.2	401
703	16	张瞃摌	80	65	79	89	82	79	395
703	14	杨五缽	72	89	75	82	79	79.4	397
703	11	施嘽膸	71	95	67	75	87	79	395
703	9	张祊湖	79	62	86	86	69	76.4	382
703	10	彭养薑	80	92	85	69	66	78.4	392
703	18	张蛵捉	79	74	85	80	68	77.2	386
703	25	赵戂羷	76	85	69	73	62	73	365
703	8	钱礳鳴	82	81	67	73	66	73.8	369
703	15	敖厒鐹	77	59	83	88	72	75.8	379
703	24	王聶瘹	79	58	83	73	60	70.6	353
703	27	徐蹞垄	72	55	74	78	69	69.6	348
703	30	吴铱憸	67	54	63	91	73	69.6	348
703	36	杨內觘	75	48	75	84	66	69.6	348
703	29	杨蹉呏	63	76	44	75	83	68.2	341
703	26	施劣凩	74	58	73	66	66	67.4	337
703	31	王抿寠	63	72	83	60	66	68.8	344
703	21	谢瘈齗	76	56	60	75	65	66.4	332
703	20	钦鲯尦	70	59	60	71	74	66.8	334
703	28	吴傆舝	73	53	79	69	52	65.2	326
703	19	许瞰駹	71	67	72	68	52	66	330
703	32	陈霓秺	62	64	65	66	61	63.6	318
703	23	陈涋亾	75	63	53	81	66	67.6	338
703	39	方獏鷚	73	33	50	78	64	59.6	298
703	44	刘龎儥	77	32	47	71	62	57.8	289
703	33	钱緔鑣	66	33	56	72	70	59.4	297
703	40	吴肢藷	68	41	56	68	64	59.4	297
703	45	钱帹詤	63	61	44	73	62	60.6	303
703	43	施齑絇	74	33	54	63	58	56.4	282
703	34	汤灂淄	69	40	54	66	58	57.4	287
703	50	汪捥屭	69	75	41	50	55	58	290
703	41	高醏夅	76	27	57	69	33	52.4	262
703	35	洑喦鞫	66	42	43	67	47	53	265
703	55	王鵏蟪	76	19	58	69	41	52.6	263
703	54	孙糒褧	74	11	55	75	29	48.8	244
703	42	秦窽鍠	63	43	63	45	45	51.8	259
703	37	孙麣秿	58	64	43	45	45	51	255
703	38	吴饆砄	50	31	39	35	85	48	240
703	51	倪慦间	27	49	43	45	60	44.8	224
703	46	周椪碇	60	33	28	53	45	43.8	219
703	56	徐堇礁	45	25	38	47	27	36.4	182
703	48	赵洠秗	42	22	35	39	27	33	165
703	47	薛衃誾	46	22	49	30	25	34.4	172
703	49	周鲤筻	45	26	11	23	53	31.6	158
703	52	孙伵樾	23	16	31	54	29	30.6	153
703	53	郭涤汇	7	45	28	40	18	27.6	138
704	1	钱岱朜	84	84	93	81	94	87.2	436
704	2	邰艭姹	75	86	87	81	87	83.2	416
704	3	陈轵篏	70	76	73	82	93	78.8	394
704	4	陈齐肆	80	95	75	80	90	84	420
704	5	尹唬湑	87	70	96	96	92	88.2	441
704	6	钱螰安	86	85	88	89	84	86.4	432
704	7	丁问槜	91	91	98	96	89	93	465
704	8	章筘褗	82	88	98	91	91	90	450
704	9	敖基篇	90	87	97	100	96	94	470
704	10	陆盔螝	63	78	90	91	93	83	415
704	11	王姷宣	76	65	71	82	94	77.6	388
704	12	顾峛嫁	82	76	90	81	91	84	420
704	13	蔡鋍攜	70	69	42	75	88	68.8	344
704	14	徐涿砒	82	78	78	84	98	84	420
704	15	陈讽鬂	82	60	84	72	85	76.6	383
704	16	田鈷崁	81	55	76	81	80	74.6	373
704	17	陆盨虅	78	74	83	68	84	77.4	387
704	18	钱橁嵘	73	57	83	80	67	72	360
704	19	黄煐磿	80	87	92	96	93	89.6	448
704	20	陈憃开	81	84	98	79	84	85.2	426
704	21	沈圦箠	75	77	59	68	80	71.8	359
704	22	钦櫭疌	81	75	81	79	86	80.4	402
704	23	吴躶冞	75	57	80	79	80	74.2	371
704	24	沈涄帰	62	81	68	75	72	71.6	358
704	25	韩娼裞	80	64	59	75	65	68.6	343
704	26	刘螄躠	80	68	96	75	82	80.2	401
704	27	杨賲芊	78	60	85	81	90	78.8	394
704	28	尹邐突	68	57	80	73	68	69.2	346
704	29	张愎院	57	45	57	81	80	64	320
704	30	洪梹祡	65	32	60	86	80	64.6	323
704	31	陆碾谕	72	62	71	66	56	65.4	327
704	32	陈瘞鸙	59	61	62	74	57	62.6	313
704	33	倪颦銒	58	87	55	89	90	75.8	379
704	34	朱丒氂	73	64	82	88	86	78.6	393
704	35	施眱脐	70	60	55	94	82	72.2	361
704	36	葛媬秮	55	28	53	57	48	48.2	241
704	37	钱痕旌	75	60	61	68	76	68	340
704	38	俞鬷窕	67	46	73	51	44	56.2	281
704	39	陈鳐窷	59	41	44	61	64	53.8	269
704	40	吴賎冐	45	51	43	49	54	48.4	242
704	41	沈鷳锅	53	36	54	50	57	50	250
704	42	甘灵庺	71	54	41	73	69	61.6	308
704	43	蒋歖唂	56	32	57	55	47	49.4	247
704	44	陈誦浰	62	27	32	61	64	49.2	246
704	45	杨睮砢	35	19	39	31	23	29.4	147
704	46	李乇铢	47	33	29	38	43	38	190
704	47	任綢薐	56	22	41	43	64	45.2	226
704	48	施觳熲	44	18	32	31	33	31.6	158
704	49	蒋麄贂	37	17	23	41	46	32.8	164
704	50	刘徉拘	51	29	40	35	40	39	195
704	51	张觛藅	39	14	39	36	51	35.8	179
704	52	孙顅絔	38	16	53	34	35	35.2	176
704	53	杨骢甲	79	88	72	88	89	83.2	416
704	54	张掇乸	8	11	17	13	20	13.8	69
704	55	朱镒缒	74	88	84	83	81	82	410
704	56	葛鋜萱	65	27	63	75	66	59.2	296
