档号	姓名	人员性质	性别	岗位设置单位	身份证号
j5503	付砘贁	公办	男	姞褋大学	330523197909100012
j5629	舒肰檘	公办	男	茌囗大学	330523198007142816
j5693	虞唁长	人代	女	仗炥大学	330523198411200029
j5813	康牙岠	公办	男	叼庵大学	330523197807063214
j5822	薛迼糓	人代	女	空旙大学	320830197504301826
j5891	潘澀嬭	公办	女	喚茀大学	330523198006164327
j5912	戴蛌愪	公办	男	蜖迚大学	330523196501262558
g8.80	许荟亏	固定工	男	犩訢大学	330523195412132511
g9.88	徐薇乘	合同工	男	曣揨大学	330523195704122518
g9.126	郭憂酐	固定工	男	飣朓大学	330523195410172536
g9.158	程萃癹	合同工	女	辦広大学	330523195910162529
j5	丁湏鸯	人代	男	崚崬大学	330523198210102318
j243	王馏鍨	人代	女	噕睿大学	330523198508045264
j319	王跑鉀	公办	男	閨猹大学	330501197507250036
j522	王鉴滔	人代	男	箺椎大学	330523198205100019
j608	方煆楩	公办	男	鉒憘大学	330523197603013215
j711	邓苀暨	人代	男	玲奿大学	362232197806030012
j968	卢舓懄	人代	女	劊鬼大学	330523198007120027
j973	卢忨绊	人代	女	该诗大学	330523198402102523
j1406	刘怒瘐	公办	男	嘘黑大学	330523197109231612
j1562	孙鉠褫	公办	男	房槺大学	330523195512251315
j1630	匡虉葔	人代	男	畠泟大学	330523198207262513
j1638	向谺垜	人代	男	槏晤大学	330523197106242519
j1683	严魇檩	人代	女	纚徼大学	360521197906061022
j1895	李萴僖	人代	女	硰碀大学	330523198402180521
j1948	李牀闪	公办	男	澗玉大学	330523197212023416
j2047	吴褘趓	公办	女	卺獀大学	330523197606070928
j2059	吴漦釅	公办	男	蓻婯大学	330523197112060316
j2122	吴尹譵	人代	男	哺鋮大学	330523198210063216
j2283	汪目鼄	人代	女	郇釙大学	330523198212060043
j2424	邵虁发	人代	女	耻齑大学	330523198211124340
j2462	陆肨眓	公办	女	唍饅大学	330523197809300041
j2538	沈毩粥	人代	女	袍箩大学	330523198404202528
j2562	沈车嫓	人代	女	蝮侑大学	330523198301251124
j2634	陈綞遪	公办	男	谛觴大学	330523196003282310
j2942	何隥凩	公办	男	蕒顑大学	330523560428251
j2971	何崏潾	公办	女	棽譎大学	330523197509235225
j3132	杨崣鲎	公办	女	并調大学	330523197408085029
j3183	杨交憵	人代	男	箮腨大学	330523197403083219
j3272	林搚阓	公办	男	狤攊大学	330523196912095416
j3537	周讅鮿	人代	女	鵁耴大学	330523198107170726
j3705	金慏钬	公办	男	巪顇大学	330523197308111330
j3810	张卢蛈	公办	男	憪螆大学	330523197512133916
j4048	胡擷藘	公办	男	竐絋大学	330523196212070015
j4092	胡闪盛	公办	男	鈴琗大学	330523197601062531
j4119	胡倦馸	人代	男	餺泸大学	330523198111040051
j4241	徐恌姖	人代	女	骣羱大学	330523198007063421
j4459	洪唴乐	公办	女	説嵗大学	33052319761223452X
j4716	袁暘敪	人代	男	膹鹤大学	330523197710101835
j4949	黄顚爛	公办	女	襷楏大学	33052319791210302X
j5079	盛寢楻	公办	女	靷蛏大学	330523197904276828
j5187	章偄壻	公办	女	踲珳大学	330523197606176220
j5372	蒋十敔	公办	女	靡獛大学	330523196411052565
j5413	葛譪悖	人代	女	晔设大学	330523198207124524
j5494	付用績	公办	男	誾鈋大学	330523196709162513
j5663	雷憯棲	公办	男	諀亷大学	330523197202111834
j5678	褚逦浘	人代	女	裕漰大学	330523198405200022
j5720	蔡梊圜	人代	女	鐗飙大学	330523197102025226
g8.14	王様薩	固定工	男	璆獬大学	330523196207164711
g9.33	周绱敀	固定工	男	之郧大学	330523196206213016
g9.187	童汬閩	固定工	女	鏃祎大学	330523196210080025
j91	于鞖碢	人代	女	魵脨大学	330523197811012524
j118	马墕餼	人代	女	祶靌大学	330523198404235629
j188	卞侼唥	公办	男	缽撷大学	330523196105243451
j251	王毞倡	公办	男	躌暐大学	330523197101025611
j257	王馄氞	公办	女	晹姅大学	330523197412025440
j272	王鲇黔	人代	男	鼶嫼大学	330523198502143613
j305	王塸犅	公办	男	憃勏大学	330523630517135
j332	王暅攁	人代	女	玧鑂大学	230102198412114328
j412	王懥贐	公办	男	屲稏大学	330523197606096618
j415	王挾釽	人代	女	蓚揟大学	43102219840913342X
j442	王苳鄁	公办	女	偼暰大学	330523197306054520
j458	王緽氤	公办	男	剡虑大学	330523196906296414
j495	王蠴跼	公办	男	鯑頪大学	330523197503036233
j512	王宏汥	人代	男	姨瘫大学	330522198201274517
j617	方鷑砨	人代	女	诏磿大学	330127198709070320
j802	石琊挼	人代	男	疯闢大学	220104197908149010
j843	田辧惂	人代	女	粜婚大学	142401198401143166
j873	叶邡恾	公办	女	毰嘥大学	330523195810133026
j881	叶燜鐘	公办	女	筙堺大学	33052319760629522X
j887	叶錾郸	公办	男	聩枮大学	33010619690203403X
j905	叶嬵剐	人代	男	痻輵大学	330523198110231817
j933	史撋樾	人代	女	凷鷠大学	370781198305177226
j951	冯才犰	人代	女	跕蟲大学	330682198612164461
j991	卢撕窤	公办	女	渺搚大学	330106197506150068
j1031	成猰嶿	人代	男	耉喹大学	14232819830209261X
j1038	包尖擆	人代	女	猓絲大学	330381199008194623
j1071	池鍗鎪	公办	男	顸鵭大学	330523197401122130
j1121	吕芛暢	公办	男	塶役大学	330523580420471
j1225	朱婣寭	公办	女	蟴溙大学	330523197611040520
j1228	朱懼紷	人代	男	鍹逘大学	32128119891005291X
j1250	朱捲衟	公办	男	蛿瀡大学	330523197209051336
j1260	朱郿软	公办	女	炱改大学	330523197810233640
j1265	朱蕽錢	人代	女	鑬钁大学	330523198201035627
j1343	刘铚洱	人代	女	乡滂大学	330523198202143048
j1351	刘轤窲	公办	男	叮掵大学	330523195810134715
j1363	刘皬癙	人代	女	锣艄大学	330523198404111829
j1426	刘铤曲	公办	男	魖瞮大学	330523197701043012
j1478	许豽薾	公办	男	鲓硥大学	330523197409214515
j1508	江婃吥	人代	女	供煉大学	330523198204082824
j1520	江麋諛	公办	女	偏拱大学	33052319780828342X
j1552	孙媮窈	人代	女	質开大学	330522198011292722
j1565	孙革顝	待定	男	宫寗大学	342522197710011212
j1582	孙靵痡	公办	女	磩軽大学	330106680124404
j1599	孙譣釽	人代	男	攬哖大学	642123760324001
j1749	项颬噛	人代	男	萆踶大学	339005198409302139
j1764	李秪粝	公办	男	琥樌大学	330523197801134712
j1773	李阢孔	人代	男	戝囷大学	511621198509116498
j1774	李窿仜	公办	女	儵逎大学	330523591025134
j1816	李堭攣	公办	男	喕蕥大学	33052319741113301X
j1823	李崡鬳	人代	女	梠庙大学	330522198703170021
j1842	李髨蓃	人代	男	湡眚大学	222404198102090817
j1850	李枱伝	公办	女	阛業大学	330523196212280020
j1899	李俵茎	公办	男	鞘詯大学	330523196801244116
j1923	李譀茨	公办	男	獎靟大学	330702196905196410
j2052	吴敭鍋	公办	男	噕覰大学	330523197210126614
j2072	吴傘熸	公办	女	箂婕大学	330523197703064722
j2081	吴凾淍	人代	女	諒瘓大学	330501198608116586
j2211	应殢扦	公办	男	斺鬇大学	330523690718471
j2238	汪鴲蜁	人代	男	謈豠大学	340825198607051919
j2263	汪昲氯	公办	男	邎蹺大学	330523196810070015
j2279	汪塵枍	人代	女	豻糸大学	33052319801016002X
j2356	宋昔岕	公办	男	絘祂大学	330523197103124314
j2359	宋怨颲	公办	男	巿灺大学	330523610814303
j2418	邵实假	公办	女	肻詇大学	330523196712310329
j2524	沈竍賌	人代	女	檄懐大学	330523198311160023
j2566	沈銊绥	公办	男	將雗大学	330523196711206431
j2635	陈嘙萗	人代	女	牎諲大学	330523198412075020
j2637	陈桒窤	公办	男	颟误大学	330702196612046419
j2641	陈翿聳	公办	男	蚃狡大学	330523197303150031
j2695	陈雾冚	人代	女	顷輁大学	330523198502200921
j2697	陈鄍侓	人代	男	钌铷大学	330523198504115018
j2711	陈櫝淥	公办	男	鏴岍大学	330523197502172516
j2718	陈伶辂	公办	男	忧胉大学	330106196507160095
j2730	陈精頿	公办	女	誘鷑大学	330523197308026822
j2731	陈僀鯲	公办	女	丼磿大学	330106196604050103
j2778	陈俐缡	公办	男	予毿大学	330523196308090010
j2787	陈戄玏	公办	女	喈鰭大学	330523197403073424
j2878	余眪鈰	公办	男	愺敟大学	330523196912226412
j2902	余骜鍜	公办	女	鈴媦大学	330523197509113623
j2938	何疧懻	公办	男	抧鉏大学	330523195912061318
j2952	何澿筑	公办	男	傑铤大学	330523196606093914
j2956	何艩子	公办	女	犞驗大学	330523196909160029
j3090	邱慙唾	人代	女	揤徯大学	33052319820826342X
j3102	邱俜紪	人代	男	茒呦大学	330523198110134718
j3128	杨赾瞨	公办	男	竕蠻大学	330106196509200150
j3157	杨軖栝	公办	男	炬卂大学	330511196307210812
j3192	杨漾罭	公办	女	腃嫇大学	330523197408186428
j3214	杨轶汤	公办	男	畓厦大学	330523197804121335
j3263	林獵溯	人代	女	恊怎大学	330523198005080041
j3271	林畿越	人代	男	冰甥大学	510681198211173014
j3283	林壃豺	公办	男	祃誡大学	330523197212123038
j3451	郎槃墓	公办	女	吾鶚大学	330523196410216222
j3503	孟娦宏	人代	女	疩班大学	330523198010214729
j3557	周聸访	公办	女	矩嗶大学	330523197010196423
j3558	周麎訠	公办	女	瓭荴大学	330523196209011321
j3585	周呁谋	人代	女	蓘漧大学	33090319871111062X
j3600	周讈垸	公办	男	栰梢大学	330523197203026017
j3604	周莝衏	人代	男	佮乼大学	421182198410020238
j3731	金梷欏	公办	男	莨嚯大学	330106197309184058
j3747	张愙崢	人代	女	邏绵大学	330523198901280068
j3781	张荐猈	人代	女	鏌袀大学	65222219841016084X
j3797	张錜瑈	人代	男	噠鰅大学	330523197812115410
j3812	张迩鄤	人代	女	椎硐大学	320681198503045422
j3872	张籼鹎	公办	男	鵈铥大学	330523197510307038
j3873	张绶副	公办	女	骸太大学	330523196408273041
j3881	张鵠厶	公办	男	溻肘大学	330523701018051
j3935	张蟈褽	人代	男	讔昵大学	642102198102210013
j3949	张鲂当	人代	女	蟣峫大学	33052319831128304X
j3977	郑巁矀	人代	女	剋赀大学	330523198305201829
j3998	郑熆踃	公办	男	豂胥大学	330523197504140016
j4003	郑瓥禨	人代	男	椖顦大学	330523198001230014
j4004	郑朐诃	公办	男	瑍揣大学	330523197101033611
j4050	胡阇嫼	公办	女	飋迁大学	330523197110171645
j4096	胡逈瓥	公办	男	芞橹大学	330523197506221813
j4199	徐夯帢	人代	女	谛揨大学	640204197707210026
j4253	徐榤饵	公办	男	襛竬大学	330523197108095014
j4258	徐熫啈	公办	男	农銀大学	330523197210041119
j4327	俞徆禯	公办	女	鴑笌大学	330523197206296426
j4352	顾砤喎	待定	男	鉭爜大学	342422197901011092
j4625	莫锁垚	公办	女	炈溭大学	330523196308060049
j4626	莫挊闱	人代	女	鈦蹦大学	330184198710143125
j4636	桂鬝虚	公办	男	娪溒大学	330523197603202817
j4687	夏犈亨	公办	男	緰觢大学	330227196803222016
j4717	袁縏暌	公办	女	螳刊大学	330523196904052344
j4738	钱雈媵	人代	女	駾爿大学	330523197906064722
j4750	钱鵛籷	人代	男	哏譠大学	330523198204181814
j4760	殷呦塠	人代	女	灋僋大学	330523197703134321
j4779	倪秬諉	公办	男	变踤大学	330523197702031312
j4783	倪媎裺	人代	女	麮侉大学	330781198511105947
j4793	郭呜垘	公办	男	薐晢大学	330502670511001
j4795	郭鯜粅	公办	男	娞唰大学	330523195712111317
j4859	唐嘁梞	人代	男	臰揨大学	452323197910010012
j4909	梁殊塟	公办	男	豈癦大学	330502671029003
j4914	梁犄薉	人代	女	檨现大学	642101197810040544
j4946	黄蟽蕞	人代	女	迴湓大学	330523197908215627
j4963	黄剞挦	人代	女	笇鮵大学	330523198103023227
j4986	黄蛢飆	公办	女	霆鯎大学	330523197209073025
j5005	黄倡蜴	公办	男	镚癧大学	330523196812016418
j5006	黄搰颜	公办	女	購葮大学	330523197711132828
j5009	黄缆鄤	公办	男	漗灙大学	330523196912233217
j5020	黄瓨禈	公办	女	暭胰大学	330523197609091345
j5025	黄舢蟩	公办	女	詬荁大学	330523197412140924
j5037	黄传嚔	人代	男	馕螯大学	33052319800923321X
j5052	曹峬郓	人代	女	熻麑大学	340621198309101643
j5057	曹暋秏	公办	男	月愕大学	330523196603214733
j5073	曹尊訣	人代	女	谮后大学	330523197911213024
j5100	龚蘣苂	公办	女	弎龜大学	330523661102112
j5215	章僧墦	公办	男	鋛勃大学	330523197401185414
j5223	章恜疈	人代	女	沷壂大学	330523198409254765
j5232	凌飐贌	人代	男	逗珐大学	330523197812162313
j5274	秦向拜	公办	女	枯菉大学	330523197306195024
j5318	董窒蝭	公办	女	鄴撍大学	330102710428156
j5322	董駴鈚	人代	男	巠妁大学	340621198510012116
j5331	韩吓礙	人代	男	獉蛃大学	362502198607213230
j5360	彭靘舄	公办	女	椉杝大学	330523196903215842
j5373	蒋洵囼	公办	男	瀔烉大学	330523197006076410
j5374	蒋楂烉	公办	男	功鎋大学	330523540804641
j5396	蒋鍨醅	公办	女	嘂裸大学	330523760728522
j5429	程榾楹	公办	女	咐楅大学	330523197507073920
j5437	程詫痣	人代	女	娂顛大学	330523198409093025
j5470	程巵櫜	公办	女	卿缹大学	330523197310014548
j5476	程騣偳	公办	男	籟耔大学	330523197511193618
j5508	鲍泎铞	人代	男	鐸茀大学	330523197812076431
j5513	鲍謁鋐	公办	男	懆俭大学	330523197010120912
j5582	童茪癉	公办	男	兑醈大学	330523621019581
j5588	曾杢吾	公办	女	圢宜大学	330523197806300046
j5602	储亓苶	人代	男	簾骁大学	340828198402012114
j5639	楼廿旸	公办	女	藉樝大学	330523196704086427
j5668	雷踑嘠	公办	男	睯焻大学	33052319741103541X
j5717	蔡帜榾	公办	女	澮菐大学	33052319700826524X
j5738	黎伷橭	人代	女	鮼唠大学	360502198512063645
j5801	麻皯洘	公办	女	櫙行大学	330523711125342
j5926	魏然瘈	人代	男	鏠缿大学	360103198708032212
j5964	窦剨鷘	公办	男	崠輮大学	33052319700306561X
j5979	谭嵯嬓	人代	男	皺喣大学	431028198305211612
j6014	焦纹勷	公办	男	踥鮋大学	622421197109093910
jA4775	倪久傚	人代	女	玲藏大学	342425198705018426
g8.177	陈飰涖	固定工	女	墒辬大学	330523196507266621
j3	丁礻阢	公办	女	裮芖大学	330523197409166226
j13	丁経簙	公办	女	噳濽大学	330523197107166028
j72	万轭葠	公办	女	傟滠大学	330523197810146424
j152	马脣貟	人代	女	給舲大学	330523821215522
j312	王硺仄	公办	男	仹妖大学	330523197706283218
j347	王儒嘻	待定	男	緾侌大学	419002197506175916
j350	王狻秴	人代	男	痏伾大学	341103198008274410
j424	王蔗杁	公办	男	鄨硭大学	330523196910112315
j518	王髌瞠	公办	女	泵寨大学	330602198101081048
j607	方箻淘	公办	女	蟋荭大学	330523197510226625
j610	方屬磖	公办	男	紩姍大学	330523197210053232
j645	方餾皣	公办	女	卺錣大学	330501197611150844
j707	邓軅羗	公办	男	櫲潚大学	330523197512174718
j888	叶齗可	公办	男	鯥舥大学	33052319710321001X
j950	冯磜婿	公办	女	桞遥大学	330501197903180826
j1096	白爳悄	公办	女	獗鮘大学	330523197210252143
j1123	吕楥謦	人代	女	髖埰大学	330523198409280082
j1193	任騨螟	公办	男	万鲯大学	330523197402092818
j1198	任蓴鰒	公办	男	嘴鎢大学	330523197308064714
j1241	朱蟯鱶	公办	女	粳黲大学	330523196410152126
j1303	朱補趕	公办	女	胜眳大学	330523197810073026
j1304	朱弢揯	公办	女	榕俀大学	330523810923002
j1352	刘虿慡	人代	男	聱畉大学	642123197908120911
j1384	刘叇忬	公办	男	態彐大学	330523196806091833
j1416	刘苚棪	公办	男	魭埁大学	330523197705174116
j1459	许炩豕	公办	女	駕鈺大学	33052219770430084X
j1483	许鲞鳃	公办	男	嗑釷大学	330523196602084711
j1485	许軝勛	公办	女	遲懺大学	330523197412033029
j1553	孙嬈旳	公办	男	奄垩大学	330523197609035810
j1595	孙牛寖	人代	男	望諷大学	33052319831126501X
j1684	严壍彠	人代	男	撪噩大学	342901781018561
j1792	李鰹包	公办	男	莹岁大学	330523197307221837
j1845	李稿鉰	人代	男	胪缄大学	33052319840112363X
j1916	李惭灛	公办	女	鴨旈大学	330501197705300022
j1962	李滹輜	公办	女	鹬赘大学	330523197710313045
j2090	吴媗纏	公办	女	鯆聙大学	330502197008200081
j2203	应蟶菛	公办	女	脀醌大学	330523197807030025
j2265	汪軘牤	人代	女	剶玸大学	640103197810031542
j2269	汪崏喈	公办	男	尠椹大学	330523197108173019
j2367	宋狻寮	公办	女	輤鬈大学	330523196806306224
j2419	邵蔍匑	公办	男	刯鲩大学	330523197102100513
j2579	沈鐍杯	人代	男	罬齟大学	330602198208123017
j2597	陈紒鳺	人代	女	爞峊大学	330523198209224326
j2629	陈岹墜	公办	女	罚串大学	330602811219104
j2690	陈斪舟	人代	女	鏚渍大学	330523198811044723
j2836	陈袶娧	人代	女	砱環大学	33052319810609002X
j2899	余鬆鷂	公办	女	嗯軇大学	330523197604073420
j2944	何剬砞	人代	女	柢徫大学	330523198011022825
j2958	何蓼剤	公办	女	戙磑大学	330523197004212124
j2960	何搐虃	公办	男	溭崘大学	330523197312235037
j3064	闫霎瘊	人代	女	祖治大学	610302197207211521
j3098	邱阆兇	公办	男	牗页大学	330523197808080016
j3224	杨悔屳	人代	女	踺蟒大学	330523198110066428
j3225	杨匵鼈	人代	女	妩賒大学	330523197312196023
j3362	范簣讞	人代	男	蜊梄大学	330523198203020939
j3588	周洬栯	人代	女	叙垝大学	330523810307432
j3716	金觱艌	公办	女	蕱墴大学	330502197005020026
j3775	张檨冟	公办	男	郢泆大学	330523195805074316
j3800	张漘蒳	公办	男	夗针大学	330523197011104033
j3820	张齁韻	人代	女	奯艵大学	330523198212083229
j3853	张吕騀	公办	女	銀抧大学	330523671127414
j3862	张鶮唒	公办	男	冚誰大学	330523197802243419
j4000	郑庥镯	人代	女	婸宅大学	341126198108083245
j4010	郑狂譳	公办	女	赾魠大学	330523197712194545
j4027	郑嶓鲉	人代	女	餶騃大学	352228197404020026
j4034	胡豛鸵	公办	男	謺厩大学	330523197801140717
j4054	胡梁謓	公办	男	鲸戅大学	330501197610100813
j4120	胡棪頫	待定	女	灵呿大学	34222219810224212X
j4166	赵舶襼	人代	男	銦柖大学	33052219830114041X
j4197	徐彌沝	人代	男	男鮪大学	330523198303073237
j4269	徐阷彲	公办	男	餢崔大学	330523197801303213
j4309	喻珒睿	人代	女	诡厙大学	330523197811116622
j4386	施帽肷	公办	男	蠠鄾大学	330523197210170519
j4461	洪彿静	公办	女	荦輫大学	330523198204110020
j4504	姜濨猝	公办	女	嫺裼大学	652829700718210
j4523	宣抗镐	公办	女	椩橓大学	330523197008266824
j4614	姚垱億	人代	女	害粸大学	330523198406070063
j4796	郭昳娰	人代	男	石奎大学	362422197712172552
j4815	郭壘鼬	人代	男	涎樔大学	362131197910042011
j4854	高蟷梩	人代	女	蠫飩大学	330683198508201628
j4867	唐鞒餖	人代	女	芥虅大学	330523198507201827
j4992	黄汔燆	人代	女	黈态大学	330523197503301826
j5109	龚皋輛	公办	女	嬅胄大学	330523197810120048
j5115	梅櫁炾	人代	女	鄅鰦大学	330523198203275624
j5212	章辔蛘	公办	女	荜股大学	330523681231544
j5267	祝鲟朡	公办	男	圭某大学	330523197811011118
j5292	董诟经	公办	女	竛翰大学	330523197709084329
j5317	董闶蚂	公办	女	婥犑大学	330523198108142129
j5376	蒋屑矐	公办	男	埯肏大学	330523197703233418
j5492	傅籩玔	人代	女	骭盯大学	330523198302122527
j5500	付軘乣	公办	男	鯆顎大学	330523197610022515
j5516	鲍銰鶯	公办	男	綉薷大学	330501197412050058
j5557	谢鮁袅	公办	女	灊祍大学	330523197407060022
j5596	曾畽藂	人代	女	碰瘚大学	362421197908282044
j5612	储榲塧	公办	女	雯盡大学	330523197711145426
j5656	雷矦乺	公办	女	濭灮大学	330501197709210024
j5721	蔡坊艡	公办	女	敬揓大学	330523198108126428
j5725	蔡餎蒴	待定	男	伧儛大学	432926198106150033
j5788	饶液惃	公办	男	仼鱨大学	330523197811084317
j5847	潘熮硗	人代	男	痺榻大学	330523198005260018
j5899A	戴荜葈	人代	男	轓覌大学	330523197807112119
g9.47	张澴甔	固定工	男	痥郤大学	330523571003001
j273	王堶霛	人代	女	聣巢大学	330523198506175225
j335	王鍟选	人代	女	鶦缟大学	330523198703283225
j417	王賾敓	公办	男	倆俥大学	330523197105295213
j468	王鞼瘳	公办	男	骨墩大学	330523197908156217
j792	文獃歋	人代	女	颳瀑大学	330523197910015026
j837	甘龣氰	人代	女	鼎煄大学	33052319850513232X
j869	叶枆訚	人代	女	貥虈大学	330523197612225025
j1028	乐宗贆	人代	女	魈誽大学	330523198712094725
j1276	朱呻洤	公办	男	萺褴大学	330523197707035419
j1305	朱翈饟	公办	男	钝雾大学	330523197912296618
j1307	朱撍锇	人代	男	卶憝大学	330523821024561
j1388	刘俗棌	人代	女	欍濞大学	330523199203261323
j1456	许挑磦	人代	女	躝憀大学	330523198502276440
j1708	杜缪别	公办	女	繚誾大学	330523197812025220
j1743	项稂憷	公办	女	賡毶大学	330523196503245225
j1859	李璐爲	人代	女	埰迶大学	330523198804252321
j1924	李馑俽	公办	男	蹛葇大学	330523197301093950
j2076	吴肄滔	人代	女	簍匌大学	410103198206147022
j2152	苏膄媷	人代	男	舯欨大学	330523198802161354
j2709	陈腄欪	公办	男	阓澳大学	330523195607165217
j3020	邹瑍硕	公办	女	敍羄大学	330523197006275225
j3135	杨埊袏	人代	女	趵萘大学	330523198810013626
j3188	杨纺歨	公办	女	痈黙大学	330523196610085220
j3275	林詗銵	人代	女	駂瑯大学	330523198910044761
j3396	竺佀穉	公办	女	喑鎨大学	330523197104035225
j3559	周潞暆	公办	男	釶躣大学	330523195502095216
j3560	周诼锳	人代	女	杔錬大学	330103198606160429
j3825	张嵍僞	人代	男	垨戕大学	330523198606013215
j4179	段鶕棳	公办	男	邛鷞大学	330501198010200812
j4276	徐琖丠	人代	男	芾眫大学	33052319840802321X
j5027	黄莋璕	公办	女	傕忖大学	330523197012215843
j5336	韩漲膳	公办	男	果愌大学	330523195806095215
j5384	蒋夿黄	人代	女	輚旳大学	330523198604060720
j5406	蒋曶囋	人代	女	剣筊大学	330523198610110528
j5545	谢糢淈	公办	男	鹥駂大学	330523195712135212
j5856	潘騯鵉	公办	女	圊膝大学	330523197004275221
g9.129	晏鎍芮	固定工	男	栊臉大学	330523196401085232
g9.148	蒋染塚	固定工	男	母鏋大学	330523196707075213
j133	马葳讕	公办	女	钤蓩大学	330523197502055029
j143	马憭男	公办	女	胞葼大学	33052319770730472X
j148	马曨挆	人代	女	伛摖大学	330523198010165621
j308	王餻矖	公办	男	彻汇大学	330523197501185219
j525	王侮趯	人代	女	崂纮大学	330523198201225228
j616	方菾焭	公办	女	栫訟大学	330523197703056423
j875	叶响烸	人代	女	礻娭大学	331022198505121281
j1122	吕斠曈	公办	男	黭柂大学	330523641005521
j2055	吴而暟	公办	男	朎翄大学	330523196203265216
j2057	吴潛斎	公办	男	风蛮大学	33052319610816541X
j2309	汤隔鱷	人代	女	筝酖大学	420621198210240029
j2608	陈匏玢	公办	女	尢繠大学	330523197807075426
j2674	陈熣僤	人代	女	虩徤大学	330523198204035024
j2811	陈乮竷	公办	男	琉嚘大学	330523197611305410
j2887	余骼餔	人代	男	嫢兡大学	330523198801204113
j2946	何璕苟	人代	男	黪翄大学	330523198410180011
j2963	何镉敕	公办	男	攙遱大学	330523197302070718
j3085	邱氄鼧	公办	女	彑堎大学	330523196102195247
j3251	林鹚宻	人代	男	跓佶大学	330523810926581
j3523	柯枡噉	公办	男	琯庪大学	330523197701176210
j3616	周馋梚	公办	男	飆溚大学	330523197408276415
j3818	张珩磋	人代	男	摴揲大学	330523198612253418
j4123	胡责溢	人代	女	陗啢大学	330523198705190065
j4320	俞簳苴	人代	女	任靠大学	330523198501285222
j4591	姚醳洋	公办	男	蟙娨大学	330523197710284512
j4774	倪瑍擈	公办	男	阵鮖大学	33052319540910523X
j4818	郭鹘蒟	人代	男	碀窿大学	330523197908242510
j5431	程蘪耜	人代	男	朼瑍大学	330523198202135435
j5450	程輋姑	公办	男	鋹孹大学	330523195709215211
j5662	雷蝡襺	人代	女	巼麓大学	330523198609204527
